id,target,paraphrase,negation,neg_markers,note,keep_itay,keep_shachar,agreed
hn100458,"ובכן, הוא הודה, ""אני מניח שזה יכול להיות גרוע יותר.",הוא הכחיש שהמצב יכול להיות גרוע יותר ממה שהוא היה.,הוא לא חשב שזה יכול להיות גרוע יותר.,לא,,y,n,n
hn100780,זה מתאים למה שדורקאס שמעה.,זה תואם את מה שדורקאס שמעה.,זה לא תואם למה שדורקאס שמעה.,לא,,y,y,y
hn106138,זה עולה בקנה אחד עם החששות של המועצה ושל רשות השיכון.,לרשות השיכון ולמועצה יש חששות מסוימים.,זה לא עולה בקנה אחד עם החששות של רשות השיכון.,לא,,n,n,y
hn108608,"אלה כוללים סדנאות, דלפקי עזרה בבתי המשפט, טפסים, כתבי טענות, חבילות עזרה עצמית ומשאבים אחרים לייצוג עצמי בעניינים משפטיים פשוטים.","סדנאות, דלפקי עזרה בבתי משפט, טפסים, תביעות, חבילות עזרה עצמית ומשאבים אחרים לייצוג עצמי נכללו כולם בעניינים משפטיים.","סדנאות, דלפקי עזרה בבתי המשפט, טפסים, כתבי טענות, חבילות סיוע עצמי ומשאבים אחרים לייצוג עצמי מעולם לא נכללו בעניינים משפטיים.",מעולם לא,,y,y,y
hn108760,"ליד מוזיאון הסופרים נמצא בית המשפט ג'יימס, שנבנה בשנות ה-1720.",בית המשפט ג'יימס נבנה בשלב כלשהו בשנות ה-1720.,מוזיאון הסופרים אינו נמצא ליד בית המשפט ג'יימס.,אינו,,y,y,y
hn1111,אני רוצה לדעת עוד על זה.,הייתי רוצה לדעת עוד.,אני לא צריך לדעת כלום על זה.,לא,,y,n,n
hn11403,האם יש לכם מחלקת משאבי אנוש?,"מחלקת משאבי אנוש, יש לכם את זה?",אין לכם מחלקת משאבי אנוש.,אין,,y,y,y
hn11441,"בנוסף, את התרומה המלאה בסך 1,000 דולר ניתן לפרט כניכוי ממס הכנסה פדרלי.","התרומה המלאה של 1,000 דולר, בנוסף, יכולה להיות מפורטת כניכוי מס הכנסה פדרלי.","בנוסף, לא ניתן לפרט את כל התרומה בסך 1,000,000 דולר כניכוי ממס הכנסה פדרלי.",לא,,n,n,y
hn115288,תמיד אמרת לי את זה.,אתה אמרת לי את זה.,מעולם לא סיפרת לי את זה.,מעולם לא,,y,y,y
hn115650,בינתיים הוא היה מודע לבחינה הקפדנית של סר ג'יימס.,סר ג'יימס עקב אחריו מקרוב.,הוא לא היה מודע לתשומת הלב של סר ג'יימס.,לא,,y,y,y
hn118563,"'ובכן, אני יכול לגרום לזה לעבוד כמו אדם.'",אני יודע שאני יכול לגרום לזה לעבוד כמו בן אדם.,אני לא מצליח לגרום לזה לעבוד כמו אדם.,לא,,n,n,y
hn121299,אתה תעזור לי למרות עצמך.,תעזור לי למרות עצמך.,"אתה לא תעזור לי, למרותי.",לא,,n,n,y
hn127137,"אחרת, היא הייתה לוקחת את מפתח הבית.""","אלמלא כן, היא הייתה לוקחת את מפתח הבית.",היא לעולם לא הייתה לוקחת את מפתח הבית.,לא,,n,n,y
hn134041,"אני מדבר גם בשמך, אני יודע.",אני מבין שאני מדבר בשם שנינו.,"אני מדבר רק בשמי, לא בשמך.",לא,,y,y,y
hn139986,"חיפשתי את זה בכל מקום.""",,לא חיפשתי את זה.,לא,WRITE PARAPHRASE,n,n,y
hn143570,מהות הסבר משבר הטילים בקובה.,משבר הטילים בקובה קשור לצבא.,משבר הטילים בקובה אינו עוסק בטילים.,אינו,,n,n,y
hn145688,אבל זה לא הופך אותם לטועים.,הם לא טועים למרות ויכוחים קודמים.,זה הופך אותם ללא נכונים.,ללא,,n,n,y
hn194,"בסדר, אני אכן מאשים את עצמי.","אני מאשים את עצמי, בסדר.",אני לא מאשים את עצמי בכלל.,לא,,n,n,y
hn19652,"הם ראו אותי מגיע, ועצרו להביט.",כשהם ראו אותי מגיע הם נעצרו כדי לצפות.,הם לא ראו אותי מגיע.,לא,,n,n,y
hn21980,הוא היה בן 65 באותו הזמן.,הוא היה בן 65.,הוא אף פעם לא היה בן 65.,אף פעם | לא,,y,n,n
hn22069,שלושה דברים שאנחנו יודעים על השוויצרים.,ישנם שלושה דברים שאנחנו מבינים לגבי השוויצרים.,יש שלושים דברים שאנחנו לא יודעים על השוויצרים.,לא,,n,y,n
hn24829,הנושא החוזר הוא יותר מדי ומעט מדי הערכה עצמית.,המסר החוזר הוא דעה גבוהה מדי ונמוכה מדי על עצמו.,הנושא החוזר הוא שאין דבר כזה יותר מדי הערכה עצמית.,שאין,,n,n,y
hn32099,"בלי קסם, איך נוכל להפשיר נשמה קפואה?",איך אפשר להפשיר נשמה קפואה בלי קסם?,אי אפשר להפשיר נשמה קפואה בעזרת קסם.,אי אפשר,,n,n,y
hn3280,אנחנו יכולים להגן על העיר שלך.,,אנחנו לא יכולים להגן על העיר שלך.,לא,WRITE PARAPHRASE,y,y,y
hn43371,אבל נשים בנות זמננו יכולות לקבל את שניהם.,נשים מודרניות יכולות לקבל את זה בכל דרך.,נשים לא יכולות לקבל את שניהם.,לא,,n,n,y
hn47044,אני רוצה שהיא תעזוב.,הייתי רוצה שהיא תעבור לגור במקום אחר.,אני לא רוצה שהיא תעזוב לעולם.,לא,,y,n,n
hn49380,הוועדה כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,סיכום הניתוח הראשוני של גמישות רגולטורית צורף.,הוועדה לא כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,לא,,y,y,y
hn50393,"עורך ראשי, Business Week",ל-Business Week יש עורך ראשי.,ל- Business Week אין עורך ראשי.,אין,,n,y,n
hn51161,היה בזה משהו מוזר ומפחיד.,היה בזה משהו מטריד ומפחיד.,לא היה בזה שום דבר מוזר או מפחיד.,לא | שום דבר,,y,y,y
hn53748,זה כמו להכות במים.,זה דומה להכאת מים.,זה בשום אופן לא כמו לחבוט במים.,בשום אופן | לא,,y,y,y
hn55016,כולנו יודעים את זה עכשיו.,אנחנו יודעים את זה עכשיו.,אנחנו לא יודעים את זה.,לא,,n,n,y
hn58304,"גלגלי מכונית על כביש חצץ, מאת לוסינדה וויליאמס (מרקורי).",ללסינדה ויליאמס יש שיר שנקרא גלגלי מכונית על דרך חצץ.,גלגלי מכונית על כביש חצץ לא היה של לוסינדה וויליאמס.,לא,,n,y,n
hn63486,האיש השני מעד על גופתו ונפל.,האיש השני נפל לאחר שנתקל בגופו.,האיש השני מעד על גופתו אך לא נפל.,לא,,y,y,y
hn64490,הדברת מזיקים תטופל בפרק עתידי.,הדברה תהיה הנושא של פרק עתידי.,הדברת מזיקים לא תטופל לעולם בפרק עתידי.,לא,,y,n,n
hn7032,אתה מתכוון לג'יין פין?,"ג'יין פין, את מתכוונת?",אתה לא מתכוון לג'יין פין.,לא,,n,y,n
hn72178,פסטיבל הסרטים הבינלאומי של הונג קונג מתקיים באפריל.,,פסטיבל הסרטים הבינלאומי של הונג קונג כבר לא מתקיים.,לא,WRITE PARAPHRASE,n,n,y
hn76378,למה אתה צריך את זה?,,למה אתה לא צריך את זה?,לא,WRITE PARAPHRASE,y,y,y
