id,keep,target,paraphrase,negation,neg_markers,neg_tier,containment,para_containment,prompt_id,genre,note,review_note
hn100102,n,זה היה מר אינגלת'ורפ.,מר אינגלתורפ היה שם.,"זה היה גבר, אבל זה לא היה מר אינגלת'ורפ.",לא,strong,1.00,0.40,100102,fiction,,"negation adds a contrasting clause (זה היה גבר, אבל)"
hn103291,y,איכשהו אני שמח להיות רשמי מדי עבור החברה שלך.,איכשהו אני מרוצה מכך שאני רשמי מדי עבור החברה שלך.,איכשהו אני לא שמח להיות רשמי מדי עבור החברה שלך.,לא,strong,1.00,0.33,103291,slate,,
hn104982,y,מר קרטר אמר לי כך.,כך אמר לי מר קרטר.,מר קרטר לא אמר לי כך.,לא,strong,1.00,0.00,104982,fiction,,
hn106730,y,אני רוצה לחזור למרגריט.,ברצוני לשוב אל מרגריט.,אני לא רוצה לחזור למרגריט לעולם.,לא,strong,1.00,0.00,106730,fiction,quantifier,quantifier
hn106877,n,"אני יודע, אני יודע.",אני כבר מודע.,אני לא יודע כלום.,לא,strong,1.00,0.50,106877,slate,,negation drops the repetition and adds כלום
hn107129,y,האיש הגדול משך בכתפיו.,האיש הגדול הרים כתפיים.,האיש הגדול אפילו לא משך בכתפיו.,לא,strong,1.00,0.00,107129,fiction,,
hn108400,y,אני מכור לקסמים שלך.,אני שבוי בקסמים שלך.,אני לא מכור לקסמים שלך.,לא,strong,1.00,0.00,108400,slate,,
hn108458,y,מה הממשלה צריכה לעשות?,מה האנשים שמנהלים את האומה הזו צריכים לעשות?,מה הממשלה לא צריכה לעשות?,לא,strong,1.00,0.50,108458,slate,question,question
hn110357,y,נפח שירות הדואר ניתן לערעור.,היקף שירות הדואר נתון לערעור.,נפח שירות הדואר אינו ניתן לערעור.,אינו,strong,1.00,0.00,110357,government,,
hn112131,n,הוא יהיה גיבור המקצוע.,גיבור המקצוע יהיה הוא.,גיבור של המקצוע לעולם לא יהיה הוא.,לא,strong,1.00,1.00,112131,slate,,restructured
hn115033,n,יש יוצאים מן הכלל מעודדים.,ישנם חריגים שהם מעודדים.,יש יוצאים מן הכלל שאינם מעודדים.,שאינם,strong,1.00,0.20,115033,slate,,"scope: negation lands inside the NP, T and N are not contradictory"
hn11512,y,הנושא האחרון הוא מעשי.,הנושא האחרון הוא שימושי.,הנושא האחרון הוא בהחלט לא מעשי.,לא,strong,1.00,0.00,11512,slate,,
hn115426,y,היא משלמת לו על הדירה.,היא נושאת בתשלום הדירה עבורו.,היא לא משלמת לו על הדירה.,לא,strong,1.00,0.00,115426,oup,,
hn117213,n,סקירה כללית של תהליך התכנון המדינתי,יש סקירה כללית של תהליך התכנון המדינתי.,אין סקירה כללית של תהליך התכנון המדינתי.,אין,strong,1.00,1.00,117213,government,,"target is a title fragment, not a proposition"
hn117834,y,הם יכולים לקרוא לזה מום.,הם רשאים לכנות זאת מום.,הם לא יכולים לקרוא לזה מום.,לא,strong,1.00,0.00,117834,slate,,
hn12090,n,האם הם היו שם?,האם הם היו בזה?,האם הם לא היו ארוזים שם?,לא,strong,1.00,0.75,12090,slate,,negation adds ארוזים
hn121433,y,מעריצים אמיתיים יכולים ליהנות מלראות את אותו פרק ארבע או חמש פעמים.,מעריצים אמיתיים מסוגלים ליהנות מצפייה באותו פרק ארבע או חמש פעמים.,אפילו מעריצים אמיתיים לא יכולים ליהנות מלראות את אותו פרק ארבע או חמש פעמים.,לא,strong,1.00,0.58,121433,slate,quantifier,quantifier
hn1267,y,עיבוד נתונים מתואר במפורש?,עיבוד נתונים מתואר ביסודיות?,עיבוד נתונים לא מתואר במפורש?,לא,strong,1.00,0.75,1267,government,question,question
hn131541,n,"""זה מתאים לי,"" הסכים דרו.",דרו הסכים שזה מתאים לו.,"""זה לא מתאים לי"", דרו לא הסכים.",לא | לא,strong,1.00,0.60,131541,fiction,,double edit: both the quote and the reporting verb are negated
hn132293,y,מחר נעבוד על פשטות.,נעבוד על פשטות מחר.,לא נעבוד על פשטות מחר.,לא,strong,1.00,1.00,132293,fiction,,
hn132300,y,"נכון, אמר ג'ון.",ג'ון אמר שזה נכון.,"לא נכון, אמר ג'ון.",לא,strong,1.00,1.00,132300,fiction,,
hn133564,y,האם ליטלטון הייתה נקודת מפנה?,האם ליטלטון הייתה רגע מכונן?,האם ליטלטון לא הייתה נקודת מפנה?,לא,strong,1.00,0.60,133564,slate,question,question
hn134731,n,הענק מדבר! אמר אדרין.,אדרין הכריז שהענק מדבר.,"""הענק לא מדבר היום"" אמר אדרין לקהל.",לא,strong,1.00,0.50,134731,fiction,,negation adds היום and לקהל
hn135499,y,נכון שהדמוקרטים פישטו בצורה צינית את השגיאות של קווייל.,נכון שהדמוקרטים פישטו בצורה צינית את הטעויות של קווייל.,לא נכון שהדמוקרטים פישטו בצורה צינית את השגיאות של קווייל.,לא,strong,1.00,0.89,135499,slate,,
hn13602,y,אני אוהב להמציא דברים.,אני נהנה להמציא דברים.,אני לא אוהב להמציא דברים,לא,strong,1.00,0.50,13602,fiction,,
hn136851,y,מתי אנחנו רוצים את זה?,באיזה מועד אנחנו רוצים את זה?,מתי אנחנו לא רוצים את זה?,לא,strong,1.00,0.00,136851,slate,question,question
hn139615,y,דנברס הפליג לאנגליה על הלוסיטניה.,דנברס היה נוסע על סיפון הלוסיטניה והיה בדרכו לאנגליה.,דנברס לא הפליג מעולם לאנגליה על סיפון הלוסיטניה.,לא | מעולם,strong,1.00,0.80,139615,fiction,quantifier,quantifier
hn144786,y,אנחנו יכולים לברוח משם.,אנחנו מסוגלים לברוח משם.,אנחנו לא יכולים לברוח משם.,לא,strong,1.00,0.75,144786,fiction,,
hn145950,y,הממשל ימצא שליח לסין.,השלטון ימצא שליח עבור סין.,הממשל לא ימצא שליח לסין.,לא,strong,1.00,0.50,145950,slate,,
hn16481,n,חוות דעת בית המשפט,חוות דעת בית משפט,אין חוות דעת של בית המשפט,אין,strong,1.00,0.75,16481,government,,target is a noun phrase
hn171,n,"זה כאן, זה כאן, זה כאן!",,"זה לא כאן, זה לא כאן!",לא | לא,strong,1.00,0.00,171,travel,WRITE PARAPHRASE,garbled: repetition count differs between target and negation
hn18463,y,אמרתי לו את שמי.,אמרתי לו איך קוראים לי.,לא אמרתי לו את שמי.,לא,strong,1.00,0.50,18463,fiction,,
hn21822,y,הוא עמד על מה שהוא האמין בו.,הוא עמד על מה שהוא חשב שנכון.,הוא אף פעם לא עמד על מה שהוא האמין בו.,אף פעם | לא,"phrase,strong",1.00,0.71,21822,slate,quantifier,quantifier
hn22106,n,"מה אתה חושב, יוליוס?""","""יוליוס, מה דעתך?""","""יוליוס לא אכפת לי מה אתה חושב"".",לא,strong,1.00,0.50,22106,fiction,,negation garbled by MT
hn25309,y,אנחנו צריכים לדבר עם ה-FAA.,עלינו לדבר עם ה-FAA.,אנחנו לא צריכים לדבר עם ה-FAA.,לא,strong,1.00,0.20,25309,nineeleven,,
hn26842,y,אבל הם יתרגלו לזה.,אבל הם יסתגלו לזה.,אבל הם לעולם לא יתרגלו לזה!,לא,strong,1.00,0.75,26842,slate,quantifier,quantifier
hn2730,y,אל גור יכול לעשות גרוע יותר.,אל גור יכול היה לעשות דברים גרועים יותר.,אל גור לא יכול היה לעשות גרוע יותר.,לא,strong,1.00,0.83,2730,slate,,
hn3211,n,"MSNBC, USA Today, ו-Yahoo!",יש רשתות חדשות.,MSNBC לא היה עם USA Today ו-Yahoo!,לא,strong,1.00,0.00,3211,slate,,target is a list of names
hn3280,y,אנחנו יכולים להגן על העיר שלך.,אנחנו מסוגלים להגן על העיר שלך.,אנחנו לא יכולים להגן על העיר שלך.,לא,strong,1.00,0.00,3280,fiction,,
hn33698,y,זה מרכז ניו יורק.,כאן מרכז ניו יורק.,זה לא מרכז ניו יורק.,לא,strong,1.00,0.75,33698,nineeleven,,
hn33804,y,אני חושב שהם אוהבים את מה שעשיתי עם ניו יורק.,"הם אוהבים את מה שעשיתי עם ניו יורק, אני חושב.",אני לא חושב שהם אוהבים את מה שעשיתי עם ניו יורק.,לא,strong,1.00,0.90,33804,slate,neg-raising,neg-raising
hn41017,y,האחרון פנה אל טומי.,האחרון ניגש אל טומי.,האחרון לא פנה אל טומי.,לא,strong,1.00,0.25,41017,fiction,,
hn42432,n,שני צירים הזמן התאחדו.,שני צירים הזמן השונים השתלבו.,שני צירים הזמן לא התאחדו.,לא,strong,1.00,0.75,42432,fiction,,MT garbled Hebrew in the target
hn44760,y,ראיתי את ג'ון.,פגשתי את ג'ון.,עדיין לא ראיתי את ג'ון.,לא,strong,1.00,0.00,44760,fiction,,
hn45801,n,"אני אומר, תודה לך.","תודה, זה מה שאני אומר.","לא תודה לך, אני אומר.",לא,strong,1.00,0.50,45801,slate,,"word order shifted, not a clean polarity flip"
hn45888,y,פוארו מיהר להסביר את עצמו.,פוארו נחפז להסביר את עצמו.,פוארו לא מיהר להסביר את עצמו.,לא,strong,1.00,0.00,45888,fiction,,
hn46505,y,הייתי צריך לעזור לה.,הייתי צריך לתת לה עזרה.,לא הייתי צריך לעזור לה.,לא,strong,1.00,0.75,46505,fiction,,
hn47044,y,אני רוצה שהיא תעזוב.,הייתי רוצה שהיא תעבור לגור במקום אחר.,אני לא רוצה שהיא תעזוב לעולם.,לא,strong,1.00,0.50,47044,slate,quantifier,quantifier
hn4776,y,מה אני יכול לעשות?,מה באפשרותי לעשות?,מה אני לא יכול לעשות?,לא,strong,1.00,0.00,4776,slate,question,question
hn49380,y,הוועדה כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,הוועדה צירפה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,הוועדה לא כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,לא,strong,1.00,0.33,49380,government,,
hn50393,n,"עורך ראשי, Business Week",ל-Business Week יש עורך ראשי.,ל- Business Week אין עורך ראשי.,אין,strong,1.00,0.75,50393,slate,,target is a masthead fragment
hn53013,y,"המכונות, לעומת זאת, נראות מטושטשות.","בהשוואה, המכונות נראות מטושטשות.","לעומת זאת, המכונות לא נראות מטושטשות.",לא,strong,1.00,0.60,53013,slate,,
hn54723,n,"""ראיתי גם את זה.",,לא ראיתי את זה גם.,לא,strong,1.00,0.00,54723,fiction,WRITE PARAPHRASE,garbled: stray quote and reordered negation
hn55725,y,"אנחנו החברים שלך, מר פרנקלין.","אנחנו ידידיך, מר פרנקלין.","אנחנו לא החברים שלך, מר פרנקלין.",לא,strong,1.00,0.00,55725,fiction,,
hn57990,y,"ראית אותו, אני מניח?",אני מניח שראית אותו?,"לא ראית אותו, אני מניח?",לא,strong,1.00,0.75,57990,fiction,question,question
hn58497,y,"נכון, אמר ג'ון.",ג'ון אמר שזה נכון.,ג'ון אמר שזה לא נכון.,לא,strong,1.00,1.00,58497,fiction,,
hn60839,y,האם זה היה שווה את זה?,האם זה הצדיק את המאמץ?,האם זה לא היה שווה את זה בכלל?,לא,strong,1.00,0.00,60839,slate,question,question
hn61024,y,מר בראון תפס את מקומו.,מר בראון התיישב במקומו.,מר בראון לא תפס את מקומו.,לא,strong,1.00,0.00,61024,fiction,,
hn62265,n,אי-ודאויות אחרות ספציפיות להערכת תמותה מוקדמת כוללות את ה-,,אי-ודאויות אחרות שאינן ספציפיות להערכת תמותה מוקדמת כוללות את ה-,שאינן,strong,1.00,0.00,62265,government,WRITE PARAPHRASE,target truncated mid-sentence; negation also changes scope
hn64490,y,הדברת מזיקים תטופל בפרק עתידי.,הדברה תהיה הנושא של פרק עתידי.,הדברת מזיקים לא תטופל לעולם בפרק עתידי.,לא,strong,1.00,0.20,64490,slate,quantifier,quantifier
hn7032,y,אתה מתכוון לג'יין פין.,"ג'יין פין, לזו אתה מתכוון?",אתה לא מתכוון לג'יין פין.,לא,strong,1.00,0.40,7032,fiction,,
hn71825,n,אתה יודע מה שאלתי אותך עכשיו.,שאלתי אותך משהו עכשיו.,אתה לא יודע מה שאלתי אותך עכשיו?,לא,strong,1.00,0.50,71825,fiction,,"target is a statement, negation is a question"
hn72130,y,"הזקן היה כזה, הודה יוליוס.",יוליוס הודה שכזה היה הזקן.,"הזקן לא היה כזה בכלל, הודה יוליוס.",לא,strong,1.00,0.60,72130,fiction,,
hn76378,y,למה אתה צריך את זה?,מדוע אתה זקוק לזה?,למה אתה לא צריך את זה?,לא,strong,1.00,0.00,76378,fiction,question,question
hn79961,y,דול סומך על וודוורד.,דול שומר על אמונו בוודוורד.,דול לא סומך על וודוורד.,לא,strong,1.00,0.50,79961,slate,,
hn80080,n,מתאים למטרת מחקר המקרה?,מתאים לסיבת המקרה הנלמד?,לא מתאים למטרת מחקר המקרה,לא,strong,1.00,0.50,80080,government,,"fragment, and the question mark is dropped in the negation"
hn81917,y,זה היה על הכרטיס שלו.,זה הופיע על הכרטיס שלו.,זה לא היה בכלל על הכרטיס שלו.,לא,strong,1.00,0.20,81917,fiction,,
hn84661,y,אתה קורא את העיתון שהם רצו לעשות.,אתה קורא את המסמך שהם רצו להכין.,אתה קורא את העיתון שהם לא רצו לעשות.,לא,strong,1.00,0.43,84661,slate,,
hn89318,y,ניסיתי לסבול את זה.,עשיתי ניסיון לשאת את זה.,אפילו לא ניסיתי לסבול את זה.,לא,strong,1.00,0.00,89318,fiction,,
hn91031,y,"זה נכון, הוא הודה.",הוא הודה שזה נכון.,"זה לא נכון, הוא הודה.",לא,strong,1.00,0.75,91031,fiction,,
hn9558,n,תקני דיווח לביקורות ביצועים,,תקני דיווח לא לביקורות ביצועים.,לא,strong,1.00,0.00,9558,government,WRITE PARAPHRASE,target is a title fragment
hn96767,n,"""כי אתה יכול להחזיר את השמיים.",כי אתה יכול להחזיר את השמיים למקום המקורי שלהם.,"כי אף אחד, אפילו לא אתה, יכול להחזיר את השמיים.",אף אחד | לא,"phrase,strong",1.00,1.00,96767,fiction,,target truncated; negation is ungrammatical (missing לא)
hn49766,y,"לפני שאדם בעל הכנסה נמוכה יוכל לקבל סיוע משפטי הולם, אותו אדם צריך לקבל גישה למערכת השירותים המשפטיים.","לפני שאדם עם הכנסה נמוכה יכול לקבל סיוע משפטי מתאים, אותו אדם צריך לקבל גישה למערכת השירותים המשפטיים.","לפני שאדם בעל הכנסה נמוכה יכול לקבל סיוע משפטי הולם, אותו אדם אינו צריך לקבל גישה למערכת השירותים המשפטיים.",אינו,strong,0.94,0.82,49766,government,,
hn110892,y,חשבתי שזה מתאים גם לעונת החגים וגם לניתוח שלאחר מעשה של תיק תעריפי הדואר.,חשבתי שזה מתאים גם לעונות החגים וגם לניתוח שלאחר מעשה של תעריפי הדואר.,חשבתי שזה לא מתאים גם לעונת החגים וגם לניתוח שלאחר מעשה של תעריפי הדואר.,לא,strong,0.93,0.86,110892,government,,
hn11441,n,"בנוסף, את התרומה המלאה בסך 1,000 דולר ניתן לפרט כניכוי ממס הכנסה פדרלי.","התרומה המלאה של 1,000 דולר, בנוסף, יכולה להיות מפורטת כניכוי מס הכנסה פדרלי.","בנוסף, לא ניתן לפרט את כל התרומה בסך 1,000,000 דולר כניכוי ממס הכנסה פדרלי.",לא,strong,0.93,0.64,11441,letters,,"number changed: 1,000 -> 1,000,000"
hn67507,y,חוק סרבנס-אוקסלי משנת 2002 מספק מסגרת חזקה לממשל תאגידי יעיל יותר ולוויסות מקצוע החשבונאות.,חוק סרבנס-אוקסלי משנת 2002 מספק מסגרת לניהול תאגידי אפקטיבי ולוויסות מקצוע הראיית חשבון.,חוק סרבנס-אוקסלי משנת 2002 אינו מספק מסגרת חזקה לממשל תאגידי יעיל יותר ולרגולציה של מקצוע החשבונאות.,אינו,strong,0.93,0.64,67507,government,,
hn72843,y,"המדינות בקטגוריה זו כוללות את קליפורניה, קונטיקט, אילינוי, אינדיאנה, קנטקי, מרילנד, מישיגן, מיזורי, ניו ג'רזי, ניו מקסיקו, אורגון, רוד איילנד, וירג'יניה המערבית וויומינג.","קליפורניה, קונטיקט, אילינוי, אינדיאנה, קנטקי, מרילנד, מישיגן, מיזורי, ניו ג'רזי, ניו מקסיקו, אורגון, רוד איילנד, וירג'יניה המערבית וויומינג נמנות עם המדינות בקטגוריה זו.","המדינות בקטגוריה זו אינן כוללות את קליפורניה, קונטיקט, אילינוי, אינדיאנה, קנטקי, מרילנד, מישיגן, מיזורי, ניו ג'רזי, ניו מקסיקו, אורגון, רוד איילנד, ווסט וירג'יניה ויומינג.",אינן,strong,0.92,0.08,72843,government,,
hn133001,y,המגוון והאנרגיה של חיי הלילה כאן עקפו את אלה של הגדה השמאלית.,המגוון והאנרגיה של חיי הלילה כאן עלו על אלה של הגדה השמאלית.,המגוון והאנרגיה של חיי הלילה כאן לא עקפו את הגדה השמאלית.,לא,strong,0.91,0.27,133001,travel,,
hn55816,y,הרפובליקה הימית של ג'נובה קמה כדי לאתגר את עליונותה של ונציה.,"ג'נובה, הרפובליקה הימית, קמה לאתגר את עליונותה של ונציה.",הרפובליקה הימית של ג'נובה לא קמה מעולם לאתגר את עליונותה של ונציה.,לא | מעולם,strong,0.91,0.91,55816,travel,quantifier,quantifier
hn136464,n,או האם שימוש לרעה ברוחב פס הוא שאלה מוסרית אמיתית?,האם שימוש לרעה ברוחב פס הוא שאלה מוסרית אמיתית?,האם שימוש לרעה ברוחב הפס הוא שאלה מוסרית אמיתית או לא אמיתית?,לא,strong,0.90,0.90,136464,slate,,"alternative question (או לא), not a negation"
hn31800,y,סעיף זה מסכם את תוצאות המחקר שלנו ועבודת מחקר המקרה.,תוצאות המחקר שלנו ועבודת המקרה מסוכמות בסעיף זה.,סעיף זה אינו מסכם את תוצאות המחקר שלנו ועבודת המקרה.,אינו,strong,0.90,0.60,31800,government,,
hn82262,y,רפורמות בצדק אזרחי נלקחו בחשבון בעת הוצאת כלל סופי זה.,הכלל הסופי הזה לקח בחשבון רפורמות בצדק האזרחי.,רפורמות בצדק האזרחי לא נלקחו בחשבון בעת הוצאת כלל סופי זה.,לא,strong,0.90,0.30,82262,government,,
hn103338,y,הוצאות המנהל כוללות הקצאה מתאימה של עלויות תקורה של הסוכנות.,הוצאות המנהל כוללות הקצאה נאותה של עלויות תקורה של הסוכנות.,הוצאות המינהל אינן כוללות הקצאה מתאימה של עלויות תקורה של הסוכנות.,אינן,strong,0.89,0.89,103338,government,,
hn145692,y,אפשר לטעון שהבלגן במינויים הוא יותר אסתטי מאשר מהותי.,ניתן לטעון שהבלגן במינויים הוא יותר אסתטי מאשר מהותי.,אי אפשר לטעון שהבלגן במינויים הוא יותר אסתטי מאשר מהותי.,אי אפשר,phrase,0.89,0.89,145692,slate,privative,privative
hn42675,y,"אני באמת יודע איך לעשות את זה כשאני חושב.""",אני יודע בוודאות איך לעשות את זה כשאני חושב,אני לא יודע איך לעשות את זה כשאני חושב,לא,strong,0.89,0.89,42675,fiction,,
hn114609,y,הסביבה הבינלאומית למאמציו של בן לאדן הייתה אידיאלית.,הסביבה הבינלאומית למאמציו של בן לאדן הייתה בדיוק נכונה.,הסביבה לא הייתה אידיאלית למאמציו של בן לאדן.,לא,strong,0.88,0.88,114609,nineeleven,,
hn116206,n,מערכות מידע בסוכנויות פדרליות והמליץ על שיפורים רבים.,מערכות מידע בסוכנויות פדרליות המליצו על שיפורים רבים,מערכות מידע בסוכנויות פדרליות לא המליצו על שיפורים רבים,לא,strong,0.88,0.88,116206,government,,target starts mid-sentence
hn118165,n,הוא השתמש במוריס כדי לעזור לו לעבור למרכז.,מוריס עזר לו לעבור למרכז.,הוא לא השתמש באף אחד כדי לעזור לו לעבור למרכז.,לא | באף אחד,"phrase,strong",0.88,0.38,118165,slate,,"entity changed: מוריס -> אף אחד, not only polarity"
hn24829,n,הנושא החוזר הוא יותר מדי ומעט מדי הערכה עצמית.,המסר החוזר הוא דעה גבוהה מדי ונמוכה מדי על עצמו.,הנושא החוזר הוא שאין דבר כזה יותר מדי הערכה עצמית.,שאין,strong,0.88,0.38,24829,slate,,target garbled by MT
hn27613,y,"במקרים שבהם נכונותו של השולח לשלם קשורה לתוכן, ייתכן שניתן לטעון שהתוכן ימשיך להיות מוכר בתעריפים.","במקרים שבהם הנכונות לשלם של השולח קשורה לתוכן, ייתכן שניתן יהיה לטעון שהתוכן ימשיך להיות מוכר בתעריפים.","במקרים שבהם הנכונות לשלם של השולח קשורה לתוכן, יתכן שניתן לטעון שהתוכן לא ימשיך להיות מוכר בתעריפים.",לא,strong,0.88,0.94,27613,government,,
hn29775,n,החוק השני של שומן לדינמיקה חישובית מציע זאת.,שומן הגה את החוק השני של דינמיקה חישובית.,החוק השני של שומן לדינמיקה חישובית לא מציע שום דבר.,לא | שום דבר,"phrase,strong",0.88,0.62,29775,slate,,object changed: זאת -> שום דבר
hn44122,n,האם הורדת רמת האלכוהול החוקית שווה את זה?,האם זה שווה את כאבי הראש כדי להוריד את מגבלת האלכוהול החוקית?,הורדת רמת האלכוהול החוקית שווה את זה ללא ספק,ללא,strong,0.88,0.75,44122,slate,,the 'negation' is not negated at all
hn72178,n,פסטיבל הסרטים הבינלאומי של הונג קונג מתקיים באפריל.,,פסטיבל הסרטים הבינלאומי של הונג קונג כבר לא מתקיים.,לא,strong,0.88,0.00,72178,travel,WRITE PARAPHRASE,negation drops באפריל and shifts to כבר לא
hn91839,n,המידע המשלים שפורסם ב-Federal Register כולל את הטקסט המלא של ניתוח הגמישות הרגולטורית הסופי של הוועדה.,ניתוח הגמישות הרגולטורית הסופי של הוועדה נכלל בפדרל רג'יסטר.,המידע המשלים שפורסם ב-Federal Register אינו כולל את ניתוח הגמישות הרגולטורית הסופי של הוועדה.,אינו,strong,0.87,0.40,91839,government,,negation drops content (הטקסט המלא של)
hn102944,n,שיקולים נוספים לביקורות פיננסיות שבוצעו בהתאם ל-GAGAS,,שיקולים נוספים לביקורות פיננסיות לא בוצעו בהתאם ל-GAGAS,לא,strong,0.86,0.00,102944,government,WRITE PARAPHRASE,target is a heading fragment
hn112747,y,אנשים הם אלו שגורמים לבקרה הפנימית לעבוד.,בקרה פנימית עובדת בזכות אנשים.,אנשים הם אלה שגורמים לבקרה הפנימית לא לעבוד.,לא,strong,0.86,0.14,112747,government,,
hn127137,y,"אחרת, היא הייתה לוקחת את מפתח הבית.""","אלמלא כן, היא הייתה לוקחת את מפתח הבית.",היא לעולם לא הייתה לוקחת את מפתח הבית.,לא,strong,0.86,0.86,127137,fiction,quantifier,quantifier
hn130236,y,הממשלה הפדרלית לווה מהציבור כדי לממן גירעון.,הממשלה הפדרלית לווה מהציבור כדי לממן את הגירעון,הממשלה הפדרלית לא שואלת מהציבור כדי לממן גירעון,לא,strong,0.86,0.86,130236,government,,
hn136480,y,הם הצליחו לעצור את קו הרכבת בוינדרמיר.,קו הרכבת בוינדרמיר נעצר.,הם לא הצליחו לעצור את הרכבת בוינדרמיר.,לא,strong,0.86,0.43,136480,travel,,
hn14140,n,הראיות התומכות בשיפוטים ובמסקנות המשמעותיים של המבקרים.,ראיות התומכות במסקנות ובשיפוטים המשמעותיים של המבקרים.,אין ראיות התומכות בשיפוטים ובמסקנות המשמעותיים של המבקרים.,אין,strong,0.86,0.57,14140,government,,target is a noun phrase
hn143526,n,"בוראדרו, בר קאלה 13 (בשדרת פרימרה) הוא המקום לפגוש את הג'ינטרה של חלומותיך.",ניתן למצוא ג'ינטרה נהדרת בבר קאלה 13.,"בוראדרו, בר קאלה 13 (בפלמס פרימרה) אינו המקום לפגוש את הג'ינטרה של חלומותיך.",אינו,strong,0.86,0.21,143526,travel,,location changed: בשדרת פרימרה -> בפלמס פרימרה
hn27032,y,הביצוע המוצלח של שני גורמי ההצלחה הקריטיים הללו תלוי במידה רבה בפקידים מלבד ה-CIO.,הצלחת שני גורמי ההצלחה הקריטיים האלה נשענת בעיקר על גורמים בכירים אחרים מלבד ה-CIO.,הביצוע המוצלח של שני גורמי ההצלחה המכריעים האלה לא תלוי במידה רבה בפקידים מלבד ה-CIO.,לא,strong,0.86,0.00,27032,government,,
hn37289,n,GAO נדרש לפעול לפי כללי הסנאט וה,הכרחי ש-GAO יפעל לפי כללי הסנאט.,GAO אינו נדרש לפעול לפי כללי הסנאט.,אינו,strong,0.86,0.43,37289,government,,target truncated mid-sentence
hn37936,n,"""גם אני אוהב אותו, סבא,"" אמר בורק.",גם בורק אהב אותו.,"גם אני לא אוהב אותו, סבא. אמר ישוע.",לא,strong,0.86,0.43,37936,fiction,,speaker changed: בורק -> ישוע
hn473,y,הוא חייב לדווח על כישלונו למר קרטר.,הכישלון שלו ידווח למר קרטר.,הוא לא חייב לדווח על שום כישלון למר קרטר.,לא,strong,0.86,0.29,473,fiction,quantifier,quantifier
