id,keep,target,paraphrase,negation,neg_markers,note
hn100458,n,"ובכן, הוא הודה, ""אני מניח שזה יכול להיות גרוע יותר.",הוא הכחיש שהמצב יכול להיות גרוע יותר ממה שהוא היה.,הוא לא חשב שזה יכול להיות גרוע יותר.,לא,
hn100780,y,זה מתאים למה שדורקאס שמעה.,זה תואם את מה שדורקאס שמעה.,זה לא תואם למה שדורקאס שמעה.,לא,
hn106138,n,זה עולה בקנה אחד עם החששות של המועצה ושל רשות השיכון.,לרשות השיכון ולמועצה יש חששות מסוימים.,זה לא עולה בקנה אחד עם החששות של רשות השיכון.,לא,
hn108608,y,"אלה כוללים סדנאות, דלפקי עזרה בבתי המשפט, טפסים, כתבי טענות, חבילות עזרה עצמית ומשאבים אחרים לייצוג עצמי בעניינים משפטיים פשוטים.","סדנאות, דלפקי עזרה בבתי משפט, טפסים, תביעות, חבילות עזרה עצמית ומשאבים אחרים לייצוג עצמי נכללו כולם בעניינים משפטיים.","סדנאות, דלפקי עזרה בבתי המשפט, טפסים, כתבי טענות, חבילות סיוע עצמי ומשאבים אחרים לייצוג עצמי מעולם לא נכללו בעניינים משפטיים.",מעולם לא,
hn108760,y,"ליד מוזיאון הסופרים נמצא בית המשפט ג'יימס, שנבנה בשנות ה-1720.",בית המשפט ג'יימס נבנה בשלב כלשהו בשנות ה-1720.,מוזיאון הסופרים אינו נמצא ליד בית המשפט ג'יימס.,אינו,
hn1111,n,אני רוצה לדעת עוד על זה.,הייתי רוצה לדעת עוד.,אני לא צריך לדעת כלום על זה.,לא,
hn11403,y,האם יש לכם מחלקת משאבי אנוש?,"מחלקת משאבי אנוש, יש לכם את זה?",אין לכם מחלקת משאבי אנוש.,אין,
hn11441,n,"בנוסף, את התרומה המלאה בסך 1,000 דולר ניתן לפרט כניכוי ממס הכנסה פדרלי.","התרומה המלאה של 1,000 דולר, בנוסף, יכולה להיות מפורטת כניכוי מס הכנסה פדרלי.","בנוסף, לא ניתן לפרט את כל התרומה בסך 1,000,000 דולר כניכוי ממס הכנסה פדרלי.",לא,
hn115288,y,תמיד אמרת לי את זה.,אתה אמרת לי את זה.,מעולם לא סיפרת לי את זה.,מעולם לא,
hn115650,y,בינתיים הוא היה מודע לבחינה הקפדנית של סר ג'יימס.,סר ג'יימס עקב אחריו מקרוב.,הוא לא היה מודע לתשומת הלב של סר ג'יימס.,לא,
hn118563,n,"'ובכן, אני יכול לגרום לזה לעבוד כמו אדם.'",אני יודע שאני יכול לגרום לזה לעבוד כמו בן אדם.,אני לא מצליח לגרום לזה לעבוד כמו אדם.,לא,
hn121299,n,אתה תעזור לי למרות עצמך.,תעזור לי למרות עצמך.,"אתה לא תעזור לי, למרותי.",לא,
hn127137,n,"אחרת, היא הייתה לוקחת את מפתח הבית.""","אלמלא כן, היא הייתה לוקחת את מפתח הבית.",היא לעולם לא הייתה לוקחת את מפתח הבית.,לא,
hn134041,y,"אני מדבר גם בשמך, אני יודע.",אני מבין שאני מדבר בשם שנינו.,"אני מדבר רק בשמי, לא בשמך.",לא,
hn139986,n,"חיפשתי את זה בכל מקום.""",,לא חיפשתי את זה.,לא,WRITE PARAPHRASE
hn143570,n,מהות הסבר משבר הטילים בקובה.,משבר הטילים בקובה קשור לצבא.,משבר הטילים בקובה אינו עוסק בטילים.,אינו,
hn145688,n,אבל זה לא הופך אותם לטועים.,הם לא טועים למרות ויכוחים קודמים.,זה הופך אותם ללא נכונים.,ללא,
hn194,n,"בסדר, אני אכן מאשים את עצמי.","אני מאשים את עצמי, בסדר.",אני לא מאשים את עצמי בכלל.,לא,
hn19652,n,"הם ראו אותי מגיע, ועצרו להביט.",כשהם ראו אותי מגיע הם נעצרו כדי לצפות.,הם לא ראו אותי מגיע.,לא,
hn21980,n,הוא היה בן 65 באותו הזמן.,הוא היה בן 65.,הוא אף פעם לא היה בן 65.,אף פעם | לא,
hn22069,y,שלושה דברים שאנחנו יודעים על השוויצרים.,ישנם שלושה דברים שאנחנו מבינים לגבי השוויצרים.,יש שלושים דברים שאנחנו לא יודעים על השוויצרים.,לא,
hn24829,n,הנושא החוזר הוא יותר מדי ומעט מדי הערכה עצמית.,המסר החוזר הוא דעה גבוהה מדי ונמוכה מדי על עצמו.,הנושא החוזר הוא שאין דבר כזה יותר מדי הערכה עצמית.,שאין,
hn32099,n,"בלי קסם, איך נוכל להפשיר נשמה קפואה?",איך אפשר להפשיר נשמה קפואה בלי קסם?,אי אפשר להפשיר נשמה קפואה בעזרת קסם.,אי אפשר,
hn3280,y,אנחנו יכולים להגן על העיר שלך.,,אנחנו לא יכולים להגן על העיר שלך.,לא,WRITE PARAPHRASE
hn43371,n,אבל נשים בנות זמננו יכולות לקבל את שניהם.,נשים מודרניות יכולות לקבל את זה בכל דרך.,נשים לא יכולות לקבל את שניהם.,לא,
hn47044,n,אני רוצה שהיא תעזוב.,הייתי רוצה שהיא תעבור לגור במקום אחר.,אני לא רוצה שהיא תעזוב לעולם.,לא,
hn49380,y,הוועדה כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,סיכום הניתוח הראשוני של גמישות רגולטורית צורף.,הוועדה לא כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,לא,
hn50393,y,"עורך ראשי, Business Week",ל-Business Week יש עורך ראשי.,ל- Business Week אין עורך ראשי.,אין,
hn51161,y,היה בזה משהו מוזר ומפחיד.,היה בזה משהו מטריד ומפחיד.,לא היה בזה שום דבר מוזר או מפחיד.,לא | שום דבר,
hn53748,y,זה כמו להכות במים.,זה דומה להכאת מים.,זה בשום אופן לא כמו לחבוט במים.,בשום אופן | לא,
hn55016,n,כולנו יודעים את זה עכשיו.,אנחנו יודעים את זה עכשיו.,אנחנו לא יודעים את זה.,לא,
hn58304,y,"גלגלי מכונית על כביש חצץ, מאת לוסינדה וויליאמס (מרקורי).",ללסינדה ויליאמס יש שיר שנקרא גלגלי מכונית על דרך חצץ.,גלגלי מכונית על כביש חצץ לא היה של לוסינדה וויליאמס.,לא,
hn63486,y,האיש השני מעד על גופתו ונפל.,האיש השני נפל לאחר שנתקל בגופו.,האיש השני מעד על גופתו אך לא נפל.,לא,
hn64490,n,הדברת מזיקים תטופל בפרק עתידי.,הדברה תהיה הנושא של פרק עתידי.,הדברת מזיקים לא תטופל לעולם בפרק עתידי.,לא,
hn7032,y,אתה מתכוון לג'יין פין?,"ג'יין פין, את מתכוונת?",אתה לא מתכוון לג'יין פין.,לא,
hn72178,n,פסטיבל הסרטים הבינלאומי של הונג קונג מתקיים באפריל.,,פסטיבל הסרטים הבינלאומי של הונג קונג כבר לא מתקיים.,לא,WRITE PARAPHRASE
hn76378,y,למה אתה צריך את זה?,,למה אתה לא צריך את זה?,לא,WRITE PARAPHRASE
hn78732,n,הצעת תיקון נוסף לכלל הציטוט.,תיקון נוסף לכלל הציטוטים מוצע כעת.,לא מוצע תיקון לכלל הציטוט.,לא,
hn79735,n,"תזכור מה קונרד היקר והישן אמר עם הסיסמה שלך, לא?","מה אמר קונרד היקר שלנו עם הסיסמא שלך, זוכר?","לא כך, מה אמר קונרד היקר והישן בלי הסיסמה שלך?",בלי,
hn96767,n,"""כי אתה יכול להחזיר את השמיים.",כי אתה יכול להחזיר את השמיים למקום המקורי שלהם.,"כי אף אחד, אפילו לא אתה, יכול להחזיר את השמיים.",אף אחד | לא,
