id,keep,target,paraphrase,negation,neg_markers,neg_tier,containment,para_containment,prompt_id,genre,note
hn100102,?,זה היה מר אינגלת'ורפ.,מר אינגלתורפ היה שם.,"זה היה גבר, אבל זה לא היה מר אינגלת'ורפ.",לא,strong,1.00,0.40,100102,fiction,
hn103291,?,איכשהו אני שמח להיות רשמי מדי עבור החברה שלך.,הוכח שאני רשמי מדי לחברה שלך.,איכשהו אני לא שמח להיות רשמי מדי עבור החברה שלך.,לא,strong,1.00,0.33,103291,slate,
hn104982,?,"מר קרטר אמר לי כך.""",,מר קרטר לא אמר לי כך.,לא,strong,1.00,0.00,104982,fiction,WRITE PARAPHRASE
hn106730,?,אני רוצה לחזור למרגריט.,,אני לא רוצה לחזור למרגריט לעולם.,לא,strong,1.00,0.00,106730,fiction,WRITE PARAPHRASE
hn106877,?,"אני יודע, אני יודע.",אני כבר מודע.,אני לא יודע כלום.,לא,strong,1.00,0.50,106877,slate,
hn107129,?,האיש הגדול משך בכתפיו.,,האיש הגדול אפילו לא משך בכתפיו.,לא,strong,1.00,0.00,107129,fiction,WRITE PARAPHRASE
hn108400,?,אני מכור לקסמים שלך,,אני לא מכור לקסמים שלך.,לא,strong,1.00,0.00,108400,slate,WRITE PARAPHRASE
hn108458,?,מה הממשלה צריכה לעשות?,מה האנשים שמנהלים את האומה הזו צריכים לעשות?,מה הממשלה לא צריכה לעשות?,לא,strong,1.00,0.50,108458,slate,
hn110357,?,נפח שירות הדואר ניתן לערעור.,,נפח שירות הדואר אינו ניתן לערעור.,אינו,strong,1.00,0.00,110357,government,WRITE PARAPHRASE
hn112131,?,הוא יהיה גיבור המקצוע.,גיבור המקצוע יהיה הוא.,גיבור של המקצוע לעולם לא יהיה הוא.,לא,strong,1.00,1.00,112131,slate,
hn115033,?,יש יוצאים מן הכלל מעודדים.,ישנם חריגים שהם מעודדים.,יש יוצאים מן הכלל שאינם מעודדים.,שאינם,strong,1.00,0.20,115033,slate,
hn11512,?,הנושא האחרון הוא מעשי.,מעשיות היא אחת מהאיכויות של הגיליונות האחרונים.,הנושא האחרון הוא בהחלט לא מעשי.,לא,strong,1.00,0.00,11512,slate,
hn115426,?,היא משלמת לו על הדירה.,,היא לא משלמת לו על הדירה.,לא,strong,1.00,0.00,115426,oup,WRITE PARAPHRASE
hn117213,?,סקירה כללית של תהליך התכנון המדינתי,יש סקירה כללית של תהליך התכנון המדינתי.,אין סקירה כללית של תהליך התכנון המדינתי.,אין,strong,1.00,1.00,117213,government,
hn117834,?,הם יכולים לקרוא לזה מום.,רשע זה מה שזה לפעמים נקרא.,הם לא יכולים לקרוא לזה מום.,לא,strong,1.00,0.00,117834,slate,
hn12090,?,האם הם היו שם?,האם הם היו בזה?,האם הם לא היו ארוזים שם?,לא,strong,1.00,0.75,12090,slate,
hn121433,?,מעריצים אמיתיים יכולים ליהנות מלראות את אותו פרק ארבע או חמש פעמים.,"אם אתה נהנה לראות את אותו פרק ארבע או חמש פעמים, אתה יכול להיות מעריץ אמיתי.",אפילו מעריצים אמיתיים לא יכולים ליהנות מלראות את אותו פרק ארבע או חמש פעמים.,לא,strong,1.00,0.58,121433,slate,
hn1267,?,עיבוד נתונים מתואר במפורש?,עיבוד נתונים מתואר ביסודיות?,עיבוד נתונים לא מתואר במפורש?,לא,strong,1.00,0.75,1267,government,
hn131541,?,"""זה מתאים לי,"" הסכים דרו.",דרו הסכים שזה מתאים לו.,"""זה לא מתאים לי"", דרו לא הסכים.",לא | לא,strong,1.00,0.60,131541,fiction,
hn132293,?,מחר נעבוד על פשטות.,נעבוד על פשטות מחר.,לא נעבוד על פשטות מחר.,לא,strong,1.00,1.00,132293,fiction,
hn132300,?,"נכון, אמר ג'ון.",ג'ון אמר שזה נכון.,"לא נכון, אמר ג'ון.",לא,strong,1.00,1.00,132300,fiction,
hn133564,?,האם ליטלטון הייתה נקודת מפנה?,האם ליטלטון היה נקודת הבזק?,האם ליטלטון לא הייתה נקודת מפנה?,לא,strong,1.00,0.60,133564,slate,
hn134731,?,הענק מדבר! אמר אדרין.,אדרין הכריז שהענק מדבר.,"""הענק לא מדבר היום"" אמר אדרין לקהל.",לא,strong,1.00,0.50,134731,fiction,
hn135499,?,נכון שהדמוקרטים פישטו בצורה צינית את השגיאות של קווייל.,נכון שהדמוקרטים פישטו בצורה צינית את הטעויות של קווייל.,לא נכון שהדמוקרטים פישטו בצורה צינית את השגיאות של קווייל.,לא,strong,1.00,0.89,135499,slate,
hn13602,?,אני אוהב להמציא דברים.,אני אוהב ליצור מוצרים חדשים.,אני לא אוהב להמציא דברים,לא,strong,1.00,0.50,13602,fiction,
hn136851,?,מתי אנחנו רוצים את זה?,,מתי אנחנו לא רוצים את זה?,לא,strong,1.00,0.00,136851,slate,WRITE PARAPHRASE
hn139615,?,דנברס הפליג לאנגליה על הלוסיטניה.,דנברס היה נוסע על סיפון הלוסיטניה והיה בדרכו לאנגליה.,דנברס לא הפליג מעולם לאנגליה על סיפון הלוסיטניה.,לא | מעולם,strong,1.00,0.80,139615,fiction,
hn144786,?,אנחנו יכולים לברוח משם.,אנחנו מסוגלים לברוח משם.,אנחנו לא יכולים לברוח משם.,לא,strong,1.00,0.75,144786,fiction,
hn145950,?,הממשל ימצא שליח לסין.,השלטון ימצא שליח עבור סין.,הממשל לא ימצא שליח לסין.,לא,strong,1.00,0.50,145950,slate,
hn16481,?,חוות דעת בית המשפט,חוות דעת בית משפט,אין חוות דעת של בית המשפט,אין,strong,1.00,0.75,16481,government,
hn171,?,"זה כאן, זה כאן, זה כאן!",,"זה לא כאן, זה לא כאן!",לא | לא,strong,1.00,0.00,171,travel,WRITE PARAPHRASE
hn18463,?,אמרתי לו את שמי.,אמרתי לו איך קוראים לי.,לא אמרתי לו את שמי.,לא,strong,1.00,0.50,18463,fiction,
hn21822,?,הוא עמד על מה שהוא האמין בו.,הוא עמד על מה שהוא חשב שנכון.,הוא אף פעם לא עמד על מה שהוא האמין בו.,אף פעם | לא,"phrase,strong",1.00,0.71,21822,slate,
hn22106,?,"מה אתה חושב, יוליוס?""","""יוליוס, מה דעתך?""","""יוליוס לא אכפת לי מה אתה חושב"".",לא,strong,1.00,0.50,22106,fiction,
hn25309,?,אנחנו צריכים לדבר עם ה-FAA.,הכרחי לנו לתקשר עם FAA לגבי עניינים אלה.,אנחנו לא צריכים לדבר עם ה-FAA.,לא,strong,1.00,0.20,25309,nineeleven,
hn26842,?,אבל הם יתרגלו לזה.,"הם יתרגלו לזה, אם כי.",אבל הם לעולם לא יתרגלו לזה!,לא,strong,1.00,0.75,26842,slate,
hn2730,?,אל גור יכול לעשות גרוע יותר.,אל גור יכול היה לעשות דברים גרועים יותר.,אל גור לא יכול היה לעשות גרוע יותר.,לא,strong,1.00,0.83,2730,slate,
hn3211,?,"MSNBC, USA Today, ו-Yahoo!",יש רשתות חדשות.,MSNBC לא היה עם USA Today ו-Yahoo!,לא,strong,1.00,0.00,3211,slate,
hn3280,?,אנחנו יכולים להגן על העיר שלך.,,אנחנו לא יכולים להגן על העיר שלך.,לא,strong,1.00,0.00,3280,fiction,WRITE PARAPHRASE
hn33698,?,זה מרכז ניו יורק.,כאן מרכז ניו יורק.,זה לא מרכז ניו יורק.,לא,strong,1.00,0.75,33698,nineeleven,
hn33804,?,אני חושב שהם אוהבים את מה שעשיתי עם ניו יורק.,"הם אוהבים את מה שעשיתי עם ניו יורק, אני חושב.",אני לא חושב שהם אוהבים את מה שעשיתי עם ניו יורק.,לא,strong,1.00,0.90,33804,slate,
hn41017,?,האחרון פנה אל טומי.,טומי מצא את האחרונה פונה אליו.,האחרון לא פנה אל טומי.,לא,strong,1.00,0.25,41017,fiction,
