model,intervention,config,sim_paraphrase,sim_negation,cosine_gap,pairwise_accuracy,sts_pearson,sts_spearman,flag
multilingual-e5,baseline,,0.9628812694271731,0.9407731975114426,0.022108071915730464,0.8013245033112583,0.7706994878554055,0.7641986406382736,
multilingual-e5,projection,mean_diff/cv/constrain<=0.5 (γ=12.0),0.9436847913811637,0.1562637859093455,0.7874210054718181,0.9668874172185431,,,constraint_relaxed: no γ kept unrel<=0.5
multilingual-e5,nli_rerank,lambda=0.05,0.9577357764446977,0.8456197869658658,0.11211598947883165,0.9867549668874173,0.7667192924340772,0.7576626690205125,
labse,baseline,,0.8899423599834435,0.8243082793332429,0.06563408065020074,0.7947019867549668,0.7500583990392865,0.7437548663594482,
labse,projection,mean_diff/cv/constrain<=0.5 (γ=5.0),0.9036500590444859,0.22228018614994022,0.6813698728945456,0.9867549668874173,,,
labse,nli_rerank,lambda=0.35,0.8794525274114197,0.19899712687657514,0.6804554005348444,0.9933774834437086,0.6823296928128239,0.6733910427077163,
alephbert-sentence,baseline,,0.8705538695284526,0.8901391370307731,-0.019585267502320532,0.4966887417218543,0.6735741076313432,0.6536872942724593,
alephbert-sentence,projection,mean_diff/cv/constrain<=0.5 (γ=12.0),0.8641278036415866,0.2234215709707408,0.6407062326708458,0.9668874172185431,,,
alephbert-sentence,nli_rerank,lambda=0.3,0.8673791316032147,0.334408891901513,0.532970239701702,0.9867549668874173,0.6652638912607324,0.6535603303640877,
sambert,baseline,,0.8786513403227932,0.8956069476868471,-0.016955607364053965,0.5033112582781457,0.7010420073789757,0.6860460312036529,
sambert,projection,mean_diff/cv/constrain<=0.5 (γ=12.0),0.8607289474330985,0.5230272726970121,0.33770167473608637,0.8807947019867549,,,
sambert,nli_rerank,lambda=0.35,0.8721133646319967,0.24534126130641787,0.6267721033255789,0.9933774834437086,0.6848332501127523,0.671912456885993,
