model,intervention,category,n,n_pass,pass_rate
alephbert-sentence,baseline,existential,25,14,0.56
alephbert-sentence,baseline,neg-raising,3,2,0.67
alephbert-sentence,baseline,particle,89,44,0.49
alephbert-sentence,baseline,privative,3,2,0.67
alephbert-sentence,baseline,quantifier,27,13,0.48
alephbert-sentence,baseline,question,4,0,0.0
alephbert-sentence,projection,existential,25,25,1.0
alephbert-sentence,projection,neg-raising,3,3,1.0
alephbert-sentence,projection,particle,89,85,0.96
alephbert-sentence,projection,privative,3,3,1.0
alephbert-sentence,projection,quantifier,27,27,1.0
alephbert-sentence,projection,question,4,3,0.75
labse,baseline,existential,25,19,0.76
labse,baseline,neg-raising,3,2,0.67
labse,baseline,particle,89,75,0.84
labse,baseline,privative,3,2,0.67
labse,baseline,quantifier,27,20,0.74
labse,baseline,question,4,2,0.5
labse,projection,existential,25,25,1.0
labse,projection,neg-raising,3,3,1.0
labse,projection,particle,89,87,0.98
labse,projection,privative,3,3,1.0
labse,projection,quantifier,27,27,1.0
labse,projection,question,4,4,1.0
multilingual-e5,baseline,existential,25,18,0.72
multilingual-e5,baseline,neg-raising,3,3,1.0
multilingual-e5,baseline,particle,89,73,0.82
multilingual-e5,baseline,privative,3,3,1.0
multilingual-e5,baseline,quantifier,27,22,0.81
multilingual-e5,baseline,question,4,2,0.5
multilingual-e5,projection,existential,25,23,0.92
multilingual-e5,projection,neg-raising,3,3,1.0
multilingual-e5,projection,particle,89,87,0.98
multilingual-e5,projection,privative,3,3,1.0
multilingual-e5,projection,quantifier,27,26,0.96
multilingual-e5,projection,question,4,4,1.0
sambert,baseline,existential,25,14,0.56
sambert,baseline,neg-raising,3,3,1.0
sambert,baseline,particle,89,46,0.52
sambert,baseline,privative,3,2,0.67
sambert,baseline,quantifier,27,11,0.41
sambert,baseline,question,4,0,0.0
sambert,projection,existential,25,22,0.88
sambert,projection,neg-raising,3,3,1.0
sambert,projection,particle,89,82,0.92
sambert,projection,privative,3,3,1.0
sambert,projection,quantifier,27,22,0.81
sambert,projection,question,4,1,0.25
